Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/21,2021,3,21,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/20,2021,3,20,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/19,2021,3,19,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/18,2021,3,18,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/17,2021,3,17,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/16,2021,3,16,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/15,2021,3,15,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/14,2021,3,14,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/13,2021,3,13,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/12,2021,3,12,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/11,2021,3,11,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/10,2021,3,10,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/9,2021,3,9,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/8,2021,3,8,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/7,2021,3,7,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/6,2021,3,6,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/5,2021,3,5,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/4,2021,3,4,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/3,2021,3,3,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/2,2021,3,2,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/3/1,2021,3,1,†,0,,-5.5,,-2.8,,20.8,,0,,0,,0,T,0,,7,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/28,2021,2,28,†,6,,-4,,1,,17,,0,,0.6,,0,,0.6,,8,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/27,2021,2,27,†,6,,-2.5,,1.8,,16.2,,0,,0.4,,0,,0.4,,12,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/26,2021,2,26,†,5,,-8.5,,-1.8,,19.8,,0,,6.2,,0,T,6.2,,14,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/25,2021,2,25,†,1.5,,-4.5,,-1.5,,19.5,,0,,0,,0,,0,,14,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/24,2021,2,24,†,9,,-3,,3,,15,,0,,0,,0,,0,,17,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/23,2021,2,23,†,4.5,,-1,,1.8,,16.2,,0,,0,,0,,0,,22,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/22,2021,2,22,†,4,,-5,,-0.5,,18.5,,0,,0,,0.6,,0.6,,28,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/21,2021,2,21,†,0,,-15.5,,-7.8,,25.8,,0,,0,,5,,5.2,,23,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/20,2021,2,20,†,-2,,-7,,-4.5,,22.5,,0,,0,,1.4,,0.6,,23,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/19,2021,2,19,†,-2,,-7,,-4.5,,22.5,,0,,0,,0,T,0,,25,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/18,2021,2,18,†,-3,,-9.5,,-6.3,,24.3,,0,,0,,7.8,,4.6,,18,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/17,2021,2,17,†,-3,,-18,,-10.5,,28.5,,0,,0,,0,,0,,18,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/16,2021,2,16,†,-7.5,,-11,,-9.3,,27.3,,0,,0,,4,,0.4,,17,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/15,2021,2,15,†,-3,,-9,,-6,,24,,0,,0,,10,,15.2,,10,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/14,2021,2,14,†,-2.5,,-16,,-9.3,,27.3,,0,,0,,0,T,0,,10,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/13,2021,2,13,†,-9,,-14.5,,-11.8,,29.8,,0,,0,,3.4,,2.2,,7,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/12,2021,2,12,†,-7.5,,-15,,-11.3,,29.3,,0,,0,,0,T,0,,7,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/11,2021,2,11,†,-3.5,,-9.5,,-6.5,,24.5,,0,,0,,0.2,,0.2,,7,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/10,2021,2,10,†,-5,,-12.5,,-8.8,,26.8,,0,,0,,0,,0,,7,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/9,2021,2,9,†,-2,,-10.5,,-6.3,,24.3,,0,,0,,0,,0,,7,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/8,2021,2,8,†,-5.5,,-13.5,,-9.5,,27.5,,0,,0,,0.8,,0.6,,6,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/7,2021,2,7,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/6,2021,2,6,†,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/5,2021,2,5,†,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/4,2021,2,4,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/3,2021,2,3,†,1,,-7,,-3,,21,,0,,0,,0,,0,,5,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/2,2021,2,2,†,-1,,-9.5,,-5.3,,23.3,,0,,0,,0,,0,,5,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/2/1,2021,2,1,†,-3,,-11.5,,-7.3,,25.3,,0,,0,,0,,0,,5,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/1/31,2021,1,31,†,-5,,-12,,-8.5,,26.5,,0,,0,,0,,0,,5,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2021/1/30,2021,1,30,†,-2,,-16,,-9,,27,,0,,0,,0,,0,,5,,,,,
